,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,history_date,history_price,graph_history_date,graph_history_price,max_price,min_price_from_2019,code,y,x
0,"11,300",직거래,2002,2023,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,1,46860-4,51.95,,855,46860,3,,,"['2012-03-21', '2012-03-26', '2012-06-01', '2012-06-04', '2012-07-12', '2012-10-29', '2012-11-22', '2012-12-31', '2013-02-01', '2013-03-09', '2013-04-01', '2013-05-22', '2013-06-11', '2013-06-17', '2013-06-28', '2013-09-13', '2013-09-16', '2013-10-30', '2013-11-20', '2014-02-25', '2014-03-26', '2014-04-16', '2014-05-22', '2014-05-29', '2014-08-11', '2014-09-24', '2014-09-29', '2014-09-30', '2014-10-14', '2014-10-29', '2014-11-03', '2014-11-04', '2015-01-19', '2015-01-20', '2015-01-28', '2015-03-25', '2015-07-30', '2015-08-24', '2015-12-01', '2015-12-31', '2016-02-24', '2016-03-26', '2016-06-16', '2016-07-13', '2016-10-11', '2017-01-18', '2017-01-19', '2017-03-15', '2017-04-06', '2017-04-11', '2017-04-26', '2017-05-11', '2017-07-25', '2017-12-18', '2018-02-02', '2018-03-23', '2018-05-08', '2018-06-29', '2018-09-10', '2018-10-01', '2018-11-30', '2018-12-12', '2019-01-24', '2019-05-23', '2019-06-10', '2020-08-25', '2020-11-30', '2020-12-04', '2021-03-10', '2021-05-06', '2021-06-21', '2021-07-01', '2021-07-20', '2021-07-24', '2021-08-18', '2021-09-27', '2022-05-17', '2022-05-25', '2022-07-17', '2022-09-05', '2023-03-01']","['6500', '7500', '7000', '8200', '4000', '7600', '7000', '7750', '7200', '7400', '5070', '8100', '7800', '5100', '8000', '8250', '7000', '8700', '8450', '8300', '8100', '7800', '8000', '8600', '8100', '7000', '7900', '7300', '8700', '8100', '8000', '8200', '8000', '8300', '8000', '7500', '8050', '8100', '8050', '8100', '8500', '8500', '8700', '8700', '8200', '9000', '8000', '8800', '8900', '9000', '7000', '8500', '8700', '8950', '9300', '8000', '8500', '9300', '9200', '8100', '8500', '7500', '9000', '9800', '9250', '8500', '11500', '9500', '12000', '9400', '11400', '10900', '9700', '11300', '10000', '10500', '11500', '10500', '9300', '10500', '11300']","['2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11', '2013-12', '2014-01', '2014-02', '2014-03', '2014-04', '2014-05', '2014-06', '2014-07', '2014-08', '2014-09', '2014-10', '2014-11', '2014-12', '2015-01', '2015-02', '2015-03', '2015-04', '2015-05', '2015-06', '2015-07', '2015-08', '2015-09', '2015-10', '2015-11', '2015-12', '2016-01', '2016-02', '2016-03', '2016-04', '2016-05', '2016-06', '2016-07', '2016-08', '2016-09', '2016-10', '2016-11', '2016-12', '2017-01', '2017-02', '2017-03', '2017-04', '2017-05', '2017-06', '2017-07', '2017-08', '2017-09', '2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04']","[0, 0, 7000.0, 7000.0, 7000.0, 7600.0, 4000.0, 4000.0, 4000.0, 7600.0, 7000.0, 7750.0, 7750.0, 7200.0, 7400.0, 5070.0, 8100.0, 6966.666666666667, 6966.666666666667, 6966.666666666667, 7625.0, 8700.0, 8450.0, 8450.0, 8450.0, 8300.0, 8100.0, 7800.0, 8300.0, 8300.0, 8300.0, 8100.0, 7400.0, 8400.0, 8100.0, 8100.0, 8100.0, 8100.0, 7500.0, 7500.0, 7500.0, 7500.0, 8050.0, 8100.0, 8100.0, 8100.0, 8100.0, 8075.0, 8075.0, 8500.0, 8500.0, 8500.0, 8500.0, 8700.0, 8700.0, 8700.0, 8700.0, 8200.0, 8200.0, 8200.0, 8500.0, 8500.0, 8800.0, 8300.0, 8500.0, 8500.0, 8700.0, 8700.0, 8700.0, 8700.0, 8700.0, 8950.0, 8950.0, 9300.0, 8000.0, 8000.0, 8500.0, 9300.0, 9300.0, 9300.0, 9200.0, 8100.0, 8500.0, 7500.0, 9000.0, 9000.0, 9000.0, 9000.0, 9800.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 9250.0, 8500.0, 8500.0, 8500.0, 11500.0, 9500.0, 9500.0, 9500.0, 12000.0, 12000.0, 9400.0, 11400.0, 10633.333333333334, 10000.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 11000.0, 11000.0, 9300.0, 9300.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 10500.0, 11300.0, 11300.0]","['2021-03-10', '12000']","['2020-08-25', '8500']",16944,35.061876,126.517738
1,"10,000",중개거래,1991,2023,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,22,46860-1,84.5,전남 함평군,306,46860,7,,,"['2012-03-10', '2012-06-14', '2013-04-25', '2013-05-21', '2013-05-26', '2014-07-01', '2014-12-11', '2015-12-30', '2016-03-24', '2016-06-16', '2017-02-09', '2017-08-03', '2020-11-02', '2021-01-29', '2021-07-05', '2021-10-22', '2022-04-15', '2023-03-22']","['7500', '8500', '5800', '7200', '8100', '8800', '7300', '5000', '7500', '8000', '8000', '9200', '10000', '10700', '10500', '11000', '10300', '10000']","['2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11', '2013-12', '2014-01', '2014-02', '2014-03', '2014-04', '2014-05', '2014-06', '2014-07', '2014-08', '2014-09', '2014-10', '2014-11', '2014-12', '2015-01', '2015-02', '2015-03', '2015-04', '2015-05', '2015-06', '2015-07', '2015-08', '2015-09', '2015-10', '2015-11', '2015-12', '2016-01', '2016-02', '2016-03', '2016-04', '2016-05', '2016-06', '2016-07', '2016-08', '2016-09', '2016-10', '2016-11', '2016-12', '2017-01', '2017-02', '2017-03', '2017-04', '2017-05', '2017-06', '2017-07', '2017-08', '2017-09', '2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04']","[0, 0, 7500.0, 7500.0, 7500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 5800.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 7650.0, 8800.0, 8800.0, 8800.0, 8800.0, 8800.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 7300.0, 5000.0, 5000.0, 5000.0, 7500.0, 7500.0, 7500.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 9200.0, 10000.0, 10000.0, 10700.0, 10700.0, 10700.0, 10700.0, 10700.0, 10700.0, 10500.0, 10500.0, 10500.0, 11000.0, 11000.0, 11000.0, 11000.0, 11000.0, 11000.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10300.0, 10000.0, 10000.0]","['2021-10-22', '11000']","['2020-11-02', '10000']",4928,35.061894,126.514767
