gungu,region_code,sido,file_name,20230331
광주시 북구,2917000000,Gwangju,2917000000_Gwangju_Buk,296
광주시 서구,2914000000,Gwangju,2914000000_Gwangju_Seo,147
대구시 남구,2720000000,Daegu,2720000000_Daegu_Nam,21
대구시 달서구,2729000000,Daegu,2729000000_Daegu_Dalseo,304
대구시 달성군,2771000000,Daegu,2771000000_Daegu_Dalseong,229
대구시 동구,2714000000,Daegu,2714000000_Daegu_Dong,194
대구시 북구,2723000000,Daegu,2723000000_Daegu_Buk,200
대구시 서구,2717000000,Daegu,2717000000_Daegu_Seo,29
대구시 수성구,2726000000,Daegu,2726000000_Daegu_Suseong,175
대구시 중구,2711000000,Daegu,2711000000_Daegu_Jung,65
대전시 대덕구,3023000000,Daejeon,3023000000_Daejeon_Daedeok,67
대전시 동구,3011000000,Daejeon,3011000000_Daejeon_Dong,110
대전시 서구,3017000000,Daejeon,3017000000_Daejeon_Seo,224
대전시 유성구,3020000000,Daejeon,3020000000_Daejeon_Yuseong,220
대전시 중구,3014000000,Daejeon,3014000000_Daejeon_Jung,97
부산시 강서구,2644000000,Busan,2644000000_Busan_Gangseo,127
부산시 금정구,2641000000,Busan,2641000000_Busan_Geumjeong,46
부산시 기장군,2671000000,Busan,2671000000_Busan_Gijangn,113
부산시 남구,2629000000,Busan,2629000000_Busan_Nam,134
부산시 동구,2617000000,Busan,2617000000_Busan_Dong,21
부산시 동래구,2626000000,Busan,2626000000_Busan_Dongnae,111
부산시 부산진구,2623000000,Busan,2623000000_Busan_Busanjin,177
부산시 북구,2632000000,Busan,2632000000_Busan_Buk,190
부산시 사상구,2653000000,Busan,2653000000_Busan_Sasang,82
부산시 사하구,2638000000,Busan,2638000000_Busan_Saha,161
부산시 서구,2614000000,Busan,2614000000_Busan_Seo,32
부산시 수영구,2650000000,Busan,2650000000_Busan_Suyeong,60
부산시 연제구,2647000000,Busan,2647000000_Busan_Yeonje,111
부산시 영도구,2620000000,Busan,2620000000_Busan_Yeongdo,41
부산시 중구,2611000000,Busan,2611000000_Busan_Jung,9
부산시 해운대구,2635000000,Busan,2635000000_Busan_Haeundae,167
강원도 강릉시,4215000000,Gangwondo,4215000000_Gangwondo_Gangneung,97
강원도 고성군,4282000000,Gangwondo,4282000000_Gangwondo_Goseong,10
강원도 동해시,4217000000,Gangwondo,4217000000_Gangwondo_Donghae,78
강원도 삼척시,4223000000,Gangwondo,4223000000_Gangwondo_Samcheok,40
강원도 속초시,4221000000,Gangwondo,4221000000_Gangwondo_Sokcho,84
강원도 양구군,4280000000,Gangwondo,4280000000_Gangwondo_Yanggu,7
강원도 양양군,4283000000,Gangwondo,4283000000_Gangwondo_Yangyang,14
강원도 영월군,4275000000,Gangwondo,4275000000_Gangwondo_Yeongwol,14
강원도 원주시,4213000000,Gangwondo,4213000000_Gangwondo_Wonju,357
강원도 인제군,4281000000,Gangwondo,4281000000_Gangwondo_Inje,6
강원도 정선군,4277000000,Gangwondo,4277000000_Gangwondo_Jeongseon,11
강원도 철원군,4278000000,Gangwondo,4278000000_Gangwondo_Cheorwon,3
강원도 춘천시,4211000000,Gangwondo,4211000000_Gangwondo_Chuncheon,241
강원도 태백시,4219000000,Gangwondo,4219000000_Gangwondo_Taebaek,50
강원도 평창군,4276000000,Gangwondo,4276000000_Gangwondo_Pyeongchang,27
강원도 홍천군,4272000000,Gangwondo,4272000000_Gangwondo_Hongcheon,32
강원도 화천군,4279000000,Gangwondo,4279000000_Gangwondo_Hwacheon,3
강원도 횡성군,4273000000,Gangwondo,4273000000_Gangwondo_Hoengseong,13
