,°Å·¡±Ý¾×,°Å·¡À¯Çü,°ÇÃà³âµµ,³â,µµ·Î¸í,µµ·Î¸í°Ç¹°º»¹øÈ£ÄÚµå,µµ·Î¸í°Ç¹°ºÎ¹øÈ£ÄÚµå,µµ·Î¸í½Ã±º±¸ÄÚµå,µµ·Î¸íÀÏ·Ã¹øÈ£ÄÚµå,µµ·Î¸íÁö»óÁöÇÏÄÚµå,µµ·Î¸íÄÚµå,¹ýÁ¤µ¿,¹ýÁ¤µ¿º»¹øÄÚµå,¹ýÁ¤µ¿ºÎ¹øÄÚµå,¹ýÁ¤µ¿½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿À¾¸éµ¿ÄÚµå,¹ýÁ¤µ¿Áö¹øÄÚµå,¾ÆÆÄÆ®,¿ù,ÀÏ,ÀÏ·Ã¹øÈ£,Àü¿ë¸éÀû,Áß°³»ç¼ÒÀçÁö,Áö¹ø,Áö¿ªÄÚµå,Ãþ,ÇØÁ¦»çÀ¯¹ß»ýÀÏ,ÇØÁ¦¿©ºÎ
0,"4,300",,1998,2012,¸¶Áö±â·Î,00110,00000,42720,01,0,3225015,È«ÃµÀ¾ Èñ¸Á¸®,0424,0000,42720,25023,1,½Å¾Æ1Â÷,1,14,42720-17,39.99,,424,42720,8,,
1,"4,200",,1998,2012,¸¶Áö±â·Î,00110,00000,42720,01,0,3225015,È«ÃµÀ¾ Èñ¸Á¸®,0424,0000,42720,25023,1,½Å¾Æ1Â÷,1,14,42720-17,39.99,,424,42720,9,,
2,"12,700",,2012,2012,½ÅÀå´ë·Î,00015,00000,42720,01,0,3225033,È«ÃµÀ¾ Èñ¸Á¸®,0395,0014,42720,25023,1,¼¼Á¾,1,26,42720-132,64.6,,395-14,42720,5,,
3,"3,170",,1998,2012,¸¶Áö±â·Î,00110,00000,42720,01,0,3225015,È«ÃµÀ¾ Èñ¸Á¸®,0424,0000,42720,25023,1,½Å¾Æ1Â÷,1,28,42720-17,39.99,,424,42720,3,,
4,"9,430",,1994,2012,¸¶Áö±â·Î,00101,00000,42720,01,0,3225015,È«ÃµÀ¾ Èñ¸Á¸®,0261,0003,42720,25023,1,¹ÌÁø2,1,30,42720-3,81.78,,261-3,42720,4,,
5,"9,650",,2004,2012,°¥¸¶·Î,00026,00000,42720,01,0,3225001,È«ÃµÀ¾ °¥¸¶°î¸®,0222,0000,42720,25024,1,ÁÖ°ø2Â÷,1,4,42720-20,51.57,,222,42720,7,,
6,"8,900",,1998,2012,³Êºê³»±æ,00188,00000,42720,01,0,4475116,È«ÃµÀ¾ °¥¸¶°î¸®,0424,0003,42720,25024,1,¹ÌÁø5,1,5,42720-9,60,,424-3,42720,6,,
7,"9,500",,2004,2012,°¥¸¶·Î,00026,00000,42720,01,0,3225001,È«ÃµÀ¾ °¥¸¶°î¸®,0222,0000,42720,25024,1,ÁÖ°ø2Â÷,1,5,42720-20,51.57,,222,42720,11,,
8,"5,500",,1992,2012,³Êºê³»±æ,00175,00003,42720,00,0,4475116,È«ÃµÀ¾ °¥¸¶°î¸®,0449,0000,42720,25024,1,ÅÂ¸²,1,5,42720-10,59.4,,449,42720,10,,
9,"7,950",,1992,2012,È«Ãµ·Î,00462,00000,42720,01,0,3225052,È«ÃµÀ¾ °¥¸¶°î¸®,0449,0000,42720,25024,1,ÅÂ¸²,1,6,42720-10,59.4,,449,42720,7,,
10,"8,800",,2001,2012,°¥¸¶·Î,00014,00000,42720,01,0,3225001,È«ÃµÀ¾ °¥¸¶°î¸®,0200,0000,42720,25024,1,ÁÖ°ø1Â÷,1,17,42720-19,49.83,,200,42720,7,,
11,"8,450",,1998,2012,³Êºê³»±æ,00188,00000,42720,01,0,4475116,È«ÃµÀ¾ °¥¸¶°î¸®,0424,0003,42720,25024,1,¹ÌÁø5,1,29,42720-9,59.9,,424-3,42720,1,,
12,"9,700",,2004,2012,°¥¸¶·Î,00026,00000,42720,01,0,3225001,È«ÃµÀ¾ °¥¸¶°î¸®,0222,0000,42720,25024,1,ÁÖ°ø2Â÷,1,30,42720-20,51.57,,222,42720,7,,
13,"5,500",,2008,2012,»ç¹ÌÁ¤±æ,00012,00000,42720,01,0,4475302,È«ÃµÀ¾ °¥¸¶°î¸®,0270,0055,42720,25024,1,Å©·Î¹Ù,1,30,42720-124,42.32,,270-55,42720,4,,
14,"12,000",,2008,2012,»ç¹ÌÁ¤±æ,00012,00000,42720,01,0,4475302,È«ÃµÀ¾ °¥¸¶°î¸®,0270,0055,42720,25024,1,Å©·Î¹Ù,1,30,42720-124,81.78,,270-55,42720,3,,
15,"12,000",,2008,2012,»ç¹ÌÁ¤±æ,00012,00000,42720,01,0,4475302,È«ÃµÀ¾ °¥¸¶°î¸®,0270,0055,42720,25024,1,Å©·Î¹Ù,1,30,42720-124,81.78,,270-55,42720,2,,
16,"8,500",,2008,2012,»ç¹ÌÁ¤±æ,00012,00000,42720,01,0,4475302,È«ÃµÀ¾ °¥¸¶°î¸®,0270,0055,42720,25024,1,Å©·Î¹Ù,1,30,42720-124,81.78,,270-55,42720,1,,
17,"9,700",,1996,2012,¿¬ºÀÁß¾Ó·Î,00018,00000,42720,01,0,3225038,È«ÃµÀ¾ ¿¬ºÀ¸®,0468,0000,42720,25029,1,Çö´ë,1,7,42720-12,59.445,,468,42720,8,,
18,"12,500",,1996,2012,¿¬ºÀÁß¾Ó·Î,00018,00000,42720,01,0,3225038,È«ÃµÀ¾ ¿¬ºÀ¸®,0468,0000,42720,25029,1,Çö´ë,1,11,42720-12,84.398,,468,42720,13,,
19,"17,900",,2006,2012,³²»ê¸¶À»±æ,00013,00001,42720,01,0,4475104,È«ÃµÀ¾ ¿¬ºÀ¸®,0497,0000,42720,25029,1,¿¬ºÀ¾ÆÀÌÆÄÅ©,1,16,42720-116,84.8117,,497,42720,12,,
20,"3,800",,1989,2012,³²»ê°­º¯·Î5±æ,00003,00000,42720,01,0,4475103,È«ÃµÀ¾ ¿¬ºÀ¸®,0454,0000,42720,25029,1,»ïÈ£,1,18,42720-11,40.08,,454,42720,4,,
21,"17,700",,2006,2012,³²»ê¸¶À»±æ,00013,00001,42720,01,0,4475104,È«ÃµÀ¾ ¿¬ºÀ¸®,0497,0000,42720,25029,1,¿¬ºÀ¾ÆÀÌÆÄÅ©,1,21,42720-116,84.8117,,497,42720,3,,
