,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,"6,950",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,1,11,46860-4,51.49,,855,46860,11,,,
0,"7,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,2,21,46860-4,51.49,,855,46860,8,,,
1,"5,000",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,2,29,46860-1,71.54,,306,46860,1,,,
2,"5,600",,1993,2012,해삼로,00302,00000,46860,01,3297021,해보면 용산리,0936,0004,46860,37023,1,영진,2,24,46860-2,84.3,,936-4,46860,5,,,0
0,"7,500",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,3,10,46860-1,84.5,,306,46860,1,,,
1,"6,500",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,21,46860-4,51.95,,855,46860,10,,,
2,"7,500",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,3,26,46860-4,51.95,,855,46860,7,,,
3,"2,100",,1993,2012,해삼로,00302,00000,46860,01,3297021,해보면 용산리,0936,0004,46860,37023,1,영진,3,14,46860-2,59.4,,936-4,46860,9,,,0
0,"13,000",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,4,3,46860-16,70.7832,,305,46860,3,,,0
1,"6,800",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,11,46860-4,51.49,,855,46860,4,,,
2,"8,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,4,27,46860-4,59.64,,855,46860,2,,,
0,"7,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,1,46860-4,51.95,,855,46860,9,,,
1,"8,200",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,4,46860-4,51.95,,855,46860,7,,,
2,"8,100",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,6,5,46860-4,59.64,,855,46860,14,,,
3,"4,000",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,6,13,46860-1,63.62,,306,46860,2,,,
4,"8,500",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,6,14,46860-1,84.5,,306,46860,8,,,
0,"6,200",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,7,2,46860-4,51.49,,855,46860,2,,,
1,"4,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,7,12,46860-4,51.95,,855,46860,1,,,
2,"12,600",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,7,31,46860-16,70.7832,,305,46860,7,,,0
0,"7,200",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,8,2,46860-4,51.49,,855,46860,14,,,
1,"15,700",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,8,31,46860-16,83.4114,,305,46860,14,,,0
0,"7,600",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,9,7,46860-4,51.49,,855,46860,11,,,
1,"6,000",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,9,15,46860-1,63.62,,306,46860,9,,,
0,"15,800",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,10,19,46860-16,83.4114,,305,46860,11,,,0
1,"6,500",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,10,22,46860-1,63.62,,306,46860,7,,,
2,"8,800",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,24,46860-4,59.64,,855,46860,13,,,
3,"7,600",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,29,46860-4,51.95,,855,46860,15,,,
4,"15,900",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,10,29,46860-16,83.4114,,305,46860,5,,,0
5,"8,700",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,10,31,46860-4,59.64,,855,46860,1,,,
0,"9,100",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,6,46860-4,59.64,,855,46860,5,,,
1,"7,500",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,20,46860-4,51.49,,855,46860,7,,,
2,"7,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,22,46860-4,51.95,,855,46860,10,,,
3,"7,000",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,24,46860-4,51.49,,855,46860,1,,,
4,"6,000",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,11,26,46860-1,71.54,,306,46860,3,,,
5,"7,300",,2002,2012,교광길,00013,00008,46860,00,4691019,함평읍 내교리,0855,0000,46860,25023,1,내교주공,11,27,46860-4,51.49,,855,46860,8,,,
6,"5,000",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,11,30,46860-1,71.54,,306,46860,7,,,
0,"5,200",,1991,2012,내대화길,00112,00012,46860,00,4691044,함평읍 내교리,0306,0000,46860,25023,1,동광,12,5,46860-1,63.62,,306,46860,7,,,
1,"13,400",,2006,2012,내대화길,00112,00011,46860,01,4691044,함평읍 내교리,0305,0000,46860,25023,1,거송라뷔랑,12,11,46860-16,70.7832,,305,46860,5,,,0
