,°»½Å¿ä±¸±Ç»ç¿ë,°ÇÃà³âµµ,°è¾à±¸ºÐ,°è¾à±â°£,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¾ÆÆÄÆ®,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Á¾Àü°è¾àº¸Áõ±Ý,Á¾Àü°è¾à¿ù¼¼,Áö¹ø,Áö¿ªÄÚµå,Ãþ
0,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,2,46.97,,,1736,46830,5
1,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,2,46.97,,,1736,46830,15
2,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,2,46.9,,,1736,46830,5
3,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,2,46.97,,,1736,46830,9
4,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,3,46.97,,,1736,46830,11
5,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,3,46.9,,,1736,46830,8
6,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,4,46.97,,,1736,46830,6
7,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,4,46.97,,,1736,46830,14
8,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,048",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,8,5,36.78,,,1736,46830,6
9,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,5,46.56,,,1736,46830,11
10,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,5,46.56,,,1736,46830,7
11,,1999,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,000",»ïÈ£ºô¶óÆ®101,1,30,6,39.84,,,166-4,46830,13
12,,1999,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,500,Á¾¿ø,1,35,6,36.63,,,222-9,46830,12
13,,2006,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"3,675",¿µ¾Ï»ïÈ£Äý½ººô2Â÷,1,0,9,59.8044,,,390-1,46830,13
14,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,9,46.9,,,1736,46830,7
15,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,048",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,8,9,36.78,,,1736,46830,2
16,,2009,,,2012,»ïÈ£À¾ ¿ë¾Ó¸®,"1,677",¿ë¾ÓÈÞ¸Õ½Ã¾Æ,1,11,9,46.56,,,1736,46830,8
