,°»½Å¿ä±¸±Ç»ç¿ë,°ÇÃà³âµµ,°è¾à±¸ºÐ,°è¾à±â°£,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¾ÆÆÄÆ®,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Á¾Àü°è¾àº¸Áõ±Ý,Á¾Àü°è¾à¿ù¼¼,Áö¹ø,Áö¿ªÄÚµå,Ãþ
0,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,2,0,6,51.88,,,529-1,46800,4
1,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"5,500",°Ç»êÁÖ°ø,2,0,10,51.88,,,529-1,46800,9
2,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",¹Ì·¡3,2,0,11,59.82,,,129,46800,8
0,,2009,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",¼öÃ¢ÈÞ±×¸°,3,0,2,84.9629,,,635-1,46800,1
1,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",¹Ì·¡3,3,0,16,47.79,,,129,46800,14
0,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,4,0,28,59.99,,,529-1,46800,2
0,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",°Ç»êÁÖ°ø,5,0,1,59.99,,,529-1,46800,3
1,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,5,0,4,51.88,,,529-1,46800,9
2,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°è¸í,5,0,21,59.67,,,767,46800,10
3,,2012,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,900,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,5,7,24,36.57,,,810,46800,5
0,,2001,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¼Ö¸þÅ¸¿î,6,17,2,30.323,,,413,46800,9
1,,1996,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¹Ì·¡3,6,30,9,47.79,,,129,46800,8
2,,2012,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,900,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,7,19,36.57,,,810,46800,12
3,,2012,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,900,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,7,19,36.57,,,810,46800,11
4,,2012,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"1,400",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,11,22,46.25,,,810,46800,3
0,,2004,,,2012,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",°Ç»êÁÖ°ø,7,30,30,51.88,,,529-1,46800,5
